Ngày,Lần cuối,Mở,Cao,Thấp,KL,Symbol,Name
2025-03-12,569.9,551.9,574.8,544.6,11530000,BNB,Binance Coin
2025-03-11,551.7,531.11,565.9,508.02,20300000,BNB,Binance Coin
2025-03-10,531.1,554.12,572.68,523.2,9640000,BNB,Binance Coin
2025-03-09,554.12,593.29,593.29,550.21,7050000,BNB,Binance Coin
2025-03-08,593.29,594.6,602.3,590.3,4250000,BNB,Binance Coin
2025-03-07,594.61,596.4,610.09,577.9,7850000,BNB,Binance Coin
2025-03-06,596.5,598.2,612.32,589.4,6160000,BNB,Binance Coin
2025-03-05,598.2,583.7,605.71,580.7,5090000,BNB,Binance Coin
2025-03-04,583.9,574.38,588.29,548.23,16960000,BNB,Binance Coin
2025-03-03,576.02,623.09,623.56,567.72,522390,BNB,Binance Coin
2025-03-02,623.9,607.92,634.48,601.88,495130,BNB,Binance Coin
2025-03-01,607.92,588.01,609.44,586.43,307140,BNB,Binance Coin
2025-02-28,587.97,605.43,606.27,560.2,629030,BNB,Binance Coin
2025-02-27,605.51,611.52,619.48,596.15,312230,BNB,Binance Coin
2025-02-26,611.54,623.46,632.07,595.19,445870,BNB,Binance Coin
2025-02-25,623.46,615.94,628.15,587.63,691520,BNB,Binance Coin
2025-02-24,613.93,658.71,659.29,611.31,384030,BNB,Binance Coin
2025-02-23,658.04,669.06,671.09,648.73,179210,BNB,Binance Coin
2025-02-22,668.49,646.14,679.4,645.24,319290,BNB,Binance Coin
2025-02-21,647.2,656.47,668.01,635.19,339080,BNB,Binance Coin
2025-02-20,656.29,650.93,658.95,646.17,238720,BNB,Binance Coin
2025-02-19,653.71,647.76,662.44,637.9,378660,BNB,Binance Coin
2025-02-18,648.18,667.43,668.15,630.09,396600,BNB,Binance Coin
2025-02-17,667.43,673.24,681.83,658.41,345970,BNB,Binance Coin
2025-02-16,673.24,662.19,685.57,653.64,385570,BNB,Binance Coin
2025-02-15,662.39,659.78,670.9,653.56,277800,BNB,Binance Coin
2025-02-14,659.78,664.72,684.74,652.15,700500,BNB,Binance Coin
2025-02-13,664.72,696.94,730.87,659.67,1890000,BNB,Binance Coin
2025-02-12,696.94,642.53,705.25,627.33,856970,BNB,Binance Coin
2025-02-11,642.53,618.47,646.63,615.12,511370,BNB,Binance Coin
2025-02-10,618.47,615.95,621.95,596.58,389780,BNB,Binance Coin
2025-02-09,615.96,612.3,648.07,602.76,835770,BNB,Binance Coin
2025-02-08,612.3,577.85,633.58,573.63,514549,BNB,Binance Coin
2025-02-07,577.85,572.04,589.62,570.81,232090,BNB,Binance Coin
2025-02-06,572.04,569.21,589.35,568.89,347840,BNB,Binance Coin
2025-02-05,569.21,572.72,579.35,561.74,235710,BNB,Binance Coin
2025-02-04,572.72,617.25,619.12,558.33,570360,BNB,Binance Coin
2025-02-03,617.25,617.48,618.81,512.62,1430000,BNB,Binance Coin
2025-02-02,617.48,652.95,662.96,601.72,527570,BNB,Binance Coin
2025-02-01,653.49,677.48,681.52,650.8,183100,BNB,Binance Coin
2025-01-31,677.48,677.61,689.35,673.63,196420,BNB,Binance Coin
2025-01-30,677.43,667.78,682.66,666.08,150540,BNB,Binance Coin
2025-01-29,667.78,661.41,679.37,659.55,263240,BNB,Binance Coin
2025-01-28,661.41,679.76,682.85,659.66,210180,BNB,Binance Coin
2025-01-27,679.53,667.56,680.51,640.08,507830,BNB,Binance Coin
2025-01-26,667.56,686.33,690.73,665.1,202400,BNB,Binance Coin
2025-01-25,686.33,680.59,689.56,678.04,149900,BNB,Binance Coin
2025-01-24,680.59,690.18,691.23,678.86,291480,BNB,Binance Coin
2025-01-23,690.18,695.2,697.56,680.4,345130,BNB,Binance Coin
2025-01-22,695.2,692.21,703.96,690.14,228730,BNB,Binance Coin
2025-01-21,692.21,682.1,697.01,675.04,313510,BNB,Binance Coin
2025-01-20,682.1,683.75,709.18,672.14,715040,BNB,Binance Coin
2025-01-19,683.75,709.87,714.56,676.57,747510,BNB,Binance Coin
2025-01-18,709.88,721.48,723.04,695.24,385070,BNB,Binance Coin
2025-01-17,721.48,708.17,729.77,708.17,298400,BNB,Binance Coin
2025-01-16,708.08,714.6,717.35,700.68,278860,BNB,Binance Coin
2025-01-15,714.6,698.89,714.71,688.86,293560,BNB,Binance Coin
2025-01-14,698.89,688.58,699.96,686.31,166110,BNB,Binance Coin
2025-01-13,688.58,693.35,699.99,660.08,405150,BNB,Binance Coin
2025-01-12,693.35,696.7,698.48,690.01,81820,BNB,Binance Coin
2025-01-11,696.71,693.21,701.4,690.52,91740,BNB,Binance Coin
2025-01-10,693.21,685.31,700.58,683.31,245190,BNB,Binance Coin
2025-01-09,685.31,696.04,701.67,675.46,342790,BNB,Binance Coin
2025-01-08,696.04,697.98,707.23,675.41,452790,BNB,Binance Coin
2025-01-07,697.98,729.5,733.25,691.23,459860,BNB,Binance Coin
2025-01-06,729.5,709.11,745.1,706.02,369800,BNB,Binance Coin
2025-01-05,709.11,713.42,713.91,702.91,120720,BNB,Binance Coin
2025-01-04,713.5,714.59,721.71,708.48,174940,BNB,Binance Coin
2025-01-03,714.59,706.26,715.67,697.58,300210,BNB,Binance Coin
2025-01-02,706.26,708.02,715.63,698.5,303050,BNB,Binance Coin
2025-01-01,708.02,702.39,710.87,700.32,143020,BNB,Binance Coin
2024-12-31,702.39,705.36,714.75,698.62,244320,BNB,Binance Coin
2024-12-30,705.36,694.71,712.17,687.96,312010,BNB,Binance Coin
2024-12-29,694.71,722.28,724.12,690.57,252030,BNB,Binance Coin
2024-12-28,722.28,691.84,731.04,691.58,358390,BNB,Binance Coin
2024-12-27,691.79,689.55,710.85,685.88,360780,BNB,Binance Coin
2024-12-26,689.55,702.64,719.49,683.06,399280,BNB,Binance Coin
2024-12-25,702.64,696.76,713.13,695.99,246440,BNB,Binance Coin
2024-12-24,696.76,694.04,698.9,682.89,404020,BNB,Binance Coin
2024-12-23,694.04,649.89,698.19,638.3,629320,BNB,Binance Coin
2024-12-22,649.89,663.12,669.59,639.79,346830,BNB,Binance Coin
2024-12-21,663.12,678.67,692.94,652.54,549770,BNB,Binance Coin
2024-12-20,678.67,665.42,679.9,619.23,1060000,BNB,Binance Coin
2024-12-19,665.43,687.39,704.85,650.03,899950,BNB,Binance Coin
2024-12-18,687.39,717.52,721.99,683.67,773930,BNB,Binance Coin
2024-12-17,717.52,720.45,736.53,712.82,531750,BNB,Binance Coin
2024-12-16,720.45,718.61,729.99,704.37,515070,BNB,Binance Coin
2024-12-15,718.61,715.89,723.94,702.95,297320,BNB,Binance Coin
2024-12-14,715.89,725.74,731.91,705.32,359820,BNB,Binance Coin
2024-12-13,725.86,705.71,729.76,697.71,574090,BNB,Binance Coin
2024-12-12,705.71,711.41,725.56,699.38,609490,BNB,Binance Coin
2024-12-11,711.41,676.92,712.46,658.72,556730,BNB,Binance Coin
2024-12-10,676.92,689.21,704.59,650.0,1070000,BNB,Binance Coin
2024-12-09,690.02,741.84,742.14,651.3,1120000,BNB,Binance Coin
2024-12-08,741.84,749.46,757.14,728.07,355440,BNB,Binance Coin
2024-12-07,749.46,730.44,760.48,729.86,463190,BNB,Binance Coin
2024-12-06,730.44,717.32,745.52,705.63,781270,BNB,Binance Coin
2024-12-05,717.32,739.23,739.23,693.03,1240000,BNB,Binance Coin
2024-12-04,739.23,735.07,793.2,721.53,2210000,BNB,Binance Coin
2024-12-03,735.07,647.77,746.05,624.66,1630000,BNB,Binance Coin
